Package,File,Line,Category,Match,Address,Domain/IP,Domain Status,URI,Context
copyToAda.mpackage,config.lua,3,Network Identifiers,https://ada-young.com/pastebin/,ada-young.com,ada-young.com,Resolved,https://ada-young.com/pastebin/,mpackage = [[copyToAda]]\nauthor = [[Demonnic]]\ntitle = [[Copy selected text as HTML to https://ada-young.com/pastebin/ using https://ada-young.com/pastebin/api/v1/about ]]\nversion = [[1.0.0]]\ncreated = [[2024-12-28T04:18:51+0000]]
MudletWTTR.mpackage,config.lua,3,Network Identifiers,https://wttr.in,wttr.in,wttr.in,Resolved,https://wttr.in,mpackage = [[MudletWTTR]]\nauthor = [[Demonnic]]\ntitle = [[Get the weather from https://wttr.in in a miniconsole]]\nversion = [[1.0.0]]\ncreated = [[2021-09-01T16:55:46+0000]]
MedUI.mpackage,demontools.lua,61,Network Identifiers,http://www.w3.org/TR/html4/loose.dtd,www.w3.org,www.w3.org,Resolved,http://www.w3.org/TR/html4/loose.dtd,"\nlocal htmlHeader = [=[  <!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN""\n""http://www.w3.org/TR/html4/loose.dtd"">\n<html>\n  <head>"
MedUI.mpackage,demontools.lua,65,Network Identifiers,http://fonts.googleapis.com/css?family=Droid+Sans+Mono,fonts.googleapis.com,fonts.googleapis.com,Resolved,http://fonts.googleapis.com/css?family=Droid+Sans+Mono,"  <head>\n    <meta http-equiv=""Content-Type"" content=""text/html;charset=utf-8"" >\n    <link href='http://fonts.googleapis.com/css?family=Droid+Sans+Mono' rel='stylesheet' type='text/css'>\n    <style type=""text/css"">\n      body {"
MedUI.mpackage,demontools.lua,79,Network Identifiers,http://www.w3.org/TR/html4/loose.dtd,www.w3.org,www.w3.org,Resolved,http://www.w3.org/TR/html4/loose.dtd,"\nlocal htmlHeaderPattern = [=[  <!DOCTYPE HTML PUBLIC ""%-//W3C//DTD HTML 4.01 Transitional//EN""\n""http://www.w3.org/TR/html4/loose.dtd"">\n<html>\n  <head>"
MedUI.mpackage,demontools.lua,83,Network Identifiers,http://fonts.googleapis.com/css%?family=Droid%+Sans%+Mono,fonts.googleapis.com,fonts.googleapis.com,Resolved,http://fonts.googleapis.com/css%?family=Droid%+Sans%+Mono,"  <head>\n    <meta http%-equiv=""Content%-Type"" content=""text/html;charset=utf%-8"" >\n    <link href='http://fonts.googleapis.com/css%?family=Droid%+Sans%+Mono' rel='stylesheet' type='text/css'>\n    <style type=""text/css"">\n      body {"
MedUI.mpackage,demontools.lua,98,Unsafe Inputs,loadstring(,,,,,"\nlocal function getValueAt(accessString)\n  local ok, err = pcall(loadstring(""return "" .. tostring(accessString)))\n  if ok then return err end\n  return nil, err"
MedUI.mpackage,emco.lua,1261,Network Identifiers,https://wiki.mudlet.org/w/Manual:Lua_Functions#getTime,wiki.mudlet.org,wiki.mudlet.org,Resolved,https://wiki.mudlet.org/w/Manual:Lua_Functions#getTime,"    if strippedFormat ~= """" then\n      self.ae(funcName,\n              ""format contains invalid time format characters. Please see https://wiki.mudlet.org/w/Manual:Lua_Functions#getTime for formatting information"")\n    else\n      self.timestampFormat = format"
MedUI.mpackage,emco.lua,2229,Unsafe Inputs,load(,,,,,"  \n  \n  function EMCO:load()\n    local dirname = getMudletHomeDir() .. ""/EMCO/""\n    local filename = dirname .. self.name .. "".lua"""
MedUI.mpackage,emco.lua,2234,Unsafe Inputs,load(,,,,,"    local configTable = {}\n    if io.exists(filename) then\n      table.load(filename, configTable)\n    else\n      debugc(string.format(""Attempted to load config for EMCO named %s but the file could not be found. Filename: %s"", self.name, filename))"
i18n-support-for-mudlet-scripts.mpackage,i18n/init.lua,174,Unsafe Inputs,load(,,,,,"end\n\nfunction i18n.load(data)\n  recursiveLoad(nil, data)\nend"
